학교ID,학교명,학교급구분,소재지도로명주소,생성일자,변경일자,위도,경도
B000001838,서울휘경초등학교,초등학교,서울특별시 동대문구 망우로6길 48,2013-11-29,2019-09-10,37.5857358,127.0581216
B000001839,서울동답초등학교,초등학교,서울특별시 동대문구 답십리로60길 12,2013-11-29,2019-09-10,37.5718166,127.0642055
B000001840,서울답십리초등학교,초등학교,서울특별시 동대문구 전농로3길 23,2013-11-29,2019-09-10,37.569003,127.0554225
B000001841,서울신답초등학교,초등학교,서울특별시 동대문구 천호대로 177,2013-11-29,2019-09-10,37.5730006,127.0433994
B000001842,서울용두초등학교,초등학교,서울특별시 동대문구 천호대로13길 43,2013-11-29,2019-09-10,37.5757428,127.0288848
B000001843,서울이문초등학교,초등학교,서울특별시 동대문구 신이문로 16,2013-11-29,2019-09-10,37.60204,127.0641929
B000001844,서울군자초등학교,초등학교,서울특별시 동대문구 한천로6길 21,2013-11-29,2019-09-10,37.5643015,127.0613471
B000001845,서울장평초등학교,초등학교,서울특별시 동대문구 답십리로69길 27,2013-11-29,2019-09-10,37.5738074,127.0732688
B000001846,서울안평초등학교,초등학교,서울특별시 동대문구 장한로14길 61,2013-11-29,2019-09-10,37.5657116,127.0713495
B000001847,서울배봉초등학교,초등학교,서울특별시 동대문구 사가정로 193,2013-11-29,2019-09-10,37.580028,127.0659414
B000001848,서울전동초등학교,초등학교,서울특별시 동대문구 전농로16길 61,2013-11-29,2019-09-10,37.5790952,127.061138
B000001849,서울전곡초등학교,초등학교,서울특별시 동대문구 전농로 172,2013-11-29,2019-09-10,37.5805755,127.0562692
B000001850,서울전농초등학교,초등학교,서울특별시 동대문구 사가정로 66,2013-11-29,2019-09-10,37.5744176,127.0542426
B000001851,서울홍파초등학교,초등학교,서울특별시 동대문구 고산자로 518,2013-11-29,2019-09-10,37.5858976,127.0395874
B000001852,서울종암초등학교,초등학교,서울특별시 동대문구 무학로44길 25,2013-11-29,2019-09-10,37.5821589,127.0311722
B000001853,서울홍릉초등학교,초등학교,서울특별시 동대문구 회기로 90,2013-11-29,2019-09-10,37.5909805,127.0474406
B000001854,서울청량초등학교,초등학교,서울특별시 동대문구 회기로25길 31,2013-11-29,2019-09-10,37.5919847,127.0558443
B000001855,서울휘봉초등학교,초등학교,서울특별시 동대문구 장안벚꽃로 309,2013-11-29,2019-09-10,37.5859982,127.0701251
B000001856,경희초등학교,초등학교,서울특별시 동대문구 경희대로 26,2013-11-29,2019-09-10,37.5939495,127.0548902
B000001857,서울삼육초등학교,초등학교,서울특별시 동대문구 회기로10길 63,2013-11-29,2019-09-10,37.5891291,127.0477488
B000001858,은석초등학교,초등학교,서울특별시 동대문구 장안벚꽃로 205,2013-11-29,2019-09-10,37.5785598,127.0757635
B000001859,서울면목초등학교,초등학교,서울특별시 중랑구 면목로 434,2013-11-29,2019-09-10,37.591356,127.0876154
B000001860,서울면남초등학교,초등학교,서울특별시 중랑구 면목로30나길 38,2013-11-29,2019-09-10,37.5769839,127.0880206
B000001861,서울동원초등학교,초등학교,서울특별시 중랑구 송림길 114,2013-11-29,2019-09-10,37.6047385,127.1049497
B000001862,서울면북초등학교,초등학교,서울특별시 중랑구 용마공원로5길 32,2013-11-29,2019-09-10,37.5944753,127.1034704
B000001863,서울망우초등학교,초등학교,서울특별시 중랑구 망우로72길 49,2013-11-29,2019-09-10,37.598329,127.1035908
B000001864,서울면일초등학교,초등학교,서울특별시 중랑구 용마산로100길 13,2013-11-29,2019-09-10,37.5921204,127.0998536
B000001865,서울면중초등학교,초등학교,서울특별시 중랑구 용마산로70길 43,2013-11-29,2019-09-10,37.5824024,127.0966419
B000001866,서울중곡초등학교,초등학교,서울특별시 중랑구 면목로23길 20,2013-11-29,2019-09-10,37.5745386,127.083847
B000001867,서울면동초등학교,초등학교,서울특별시 중랑구 면목로57길 32,2013-11-29,2019-09-10,37.5854287,127.0866805
B000001868,서울중목초등학교,초등학교,서울특별시 중랑구 동일로 665,2013-11-29,2019-09-10,37.5897528,127.0793361
B000001869,서울중랑초등학교,초등학교,서울특별시 중랑구 봉우재로6길 26,2013-11-29,2019-09-10,37.5893695,127.0757847
B000001870,서울원묵초등학교,초등학교,서울특별시 중랑구 숙선옹주로 109,2013-11-29,2019-09-10,37.6178662,127.0864307
B000001871,서울묵현초등학교,초등학교,서울특별시 중랑구 동일로157길 75,2013-11-29,2019-09-10,37.6089983,127.0736243
B000001872,서울신묵초등학교,초등학교,서울특별시 중랑구 동일로149길 46,2013-11-29,2019-09-10,37.6072679,127.0755519
B000001873,서울상봉초등학교,초등학교,서울특별시 중랑구 동일로126가길 11,2013-11-29,2019-09-10,37.5981845,127.0836798
B000001874,서울신현초등학교,초등학교,서울특별시 중랑구 봉화산로 188,2013-11-29,2019-09-10,37.6055132,127.0934688
B000001875,서울신내초등학교,초등학교,서울특별시 중랑구 용마산로125나길 22,2013-11-29,2019-09-10,37.6048021,127.1001538
B000001876,서울중화초등학교,초등학교,서울특별시 중랑구 신내로7가길 22,2013-11-29,2019-09-10,37.6030032,127.0946485
B000001877,서울봉화초등학교,초등학교,서울특별시 중랑구 신내로15길 110,2013-11-29,2019-09-10,37.613289,127.0923924
B000001878,서울묵동초등학교,초등학교,서울특별시 중랑구 동일로138길 27,2013-11-29,2019-09-10,37.6040651,127.0814383
B000001879,서울중흥초등학교,초등학교,서울특별시 중랑구 봉화산로 82,2013-11-29,2019-09-10,37.6016352,127.08414
B000001880,금성초등학교,초등학교,서울특별시 중랑구 신내로21길 55,2013-11-29,2019-09-10,37.6150153,127.0900306
B000001881,서울은빛초등학교,초등학교,서울특별시 은평구 진관3로 73-17,2013-11-29,2019-09-10,37.6351712,126.9200278
B000001882,서울신도초등학교,초등학교,서울특별시 은평구 진관1로 77-23,2013-11-29,2019-09-10,37.6327684,126.9291409
B000001883,서울은진초등학교,초등학교,서울특별시 은평구 진관1로 21-20,2013-11-29,2019-09-10,37.632607,126.9209282
B000001884,서울진관초등학교,초등학교,서울특별시 은평구 진관4로 78-16,2013-11-29,2019-09-10,37.645051,126.9291301
B000001885,서울북한산초등학교,초등학교,서울특별시 은평구 대서문길 42-3,2013-11-29,2019-09-10,37.6540522,126.950338
B000001886,서울갈현초등학교,초등학교,서울특별시 은평구 연서로29길 31,2013-11-29,2019-09-10,37.6192587,126.9166431
B000001887,서울구현초등학교,초등학교,서울특별시 은평구 갈현로15길 51,2013-11-29,2019-09-10,37.6092227,126.9058482
B000001888,서울구산초등학교,초등학교,서울특별시 은평구 서오릉로15길 16,2013-11-29,2019-09-10,37.6124476,126.9094521
B000001889,서울은평초등학교,초등학교,서울특별시 은평구 은평로 239,2013-11-29,2019-09-10,37.6019568,126.9341059
B000001890,서울녹번초등학교,초등학교,서울특별시 은평구 녹번로1길 1,2013-11-29,2019-09-10,37.604291,126.926111
B000001891,서울수리초등학교,초등학교,서울특별시 은평구 불광로14길 10-10,2013-11-29,2019-09-10,37.6204888,126.9342435
B000001892,서울대조초등학교,초등학교,서울특별시 은평구 연서로18길 17,2013-11-29,2019-09-10,37.6132233,126.9195884
B000001893,서울연신초등학교,초등학교,서울특별시 은평구 연서로 347,2013-11-29,2019-09-10,37.6262605,126.9282737
B000001894,서울불광초등학교,초등학교,서울특별시 은평구 불광로 51,2013-11-29,2019-09-10,37.61342855,126.9307204
B000001895,서울연천초등학교,초등학교,서울특별시 은평구 연서로34길 22,2013-11-29,2019-09-10,37.6208125,126.9294822
